id,lon,lat
pt_ll_175,1.8397600000000018,4.32
pt_ll_176,3.7600000000000007,6.4799999999999995
pt_ll_177,5.920000000000002,8.64
pt_ll_178,7.360000000000001,10.08
pt_ll_179,0.6402400000000004,2.88
pt_ll_180,1.1197600000000012,3.5999999999999996
pt_ll_181,5.920000000000002,8.64
pt_ll_182,1.6000000000000014,4.32
pt_ll_183,1.6000000000000014,4.32
pt_ll_184,1.4200000000000017,3.5999999999999996
pt_ll_185,1.7202400000000004,4.32
pt_ll_186,1.7800000000000011,4.32
pt_ll_187,1.9600000000000009,4.32
pt_ll_188,2.1997600000000013,4.32
pt_ll_189,2.500000000000001,5.04
pt_ll_190,2.6800000000000006,5.04
pt_ll_5646,2.6800000000000006,5.04
pt_ll_191,2.8002400000000005,5.04
pt_ll_192,3.040000000000001,5.76
pt_ll_193,3.4000000000000012,5.76
pt_ll_194,3.6397600000000008,5.76
pt_ll_195,3.9400000000000013,6.4799999999999995
pt_ll_196,4.300000000000001,6.4799999999999995
pt_ll_197,4.660000000000001,7.199999999999999
pt_ll_198,5.079760000000001,7.199999999999999
pt_ll_199,5.0200000000000005,7.199999999999999
pt_ll_200,5.4397600000000015,7.92
pt_ll_201,5.5600000000000005,7.92
pt_ll_202,5.74,7.92
pt_ll_203,3.8802400000000006,6.4799999999999995
pt_ll_204,4.120000000000001,6.4799999999999995
pt_ll_205,3.7600000000000007,6.4799999999999995
pt_ll_206,4.300000000000001,6.4799999999999995
pt_ll_207,3.9400000000000013,6.4799999999999995
pt_ll_208,4.48,7.199999999999999
pt_ll_209,3.999760000000001,6.4799999999999995
pt_ll_210,4.120000000000001,6.4799999999999995
pt_ll_211,4.60024,7.199999999999999
pt_ll_212,3.580000000000001,5.76
pt_ll_213,3.520240000000001,5.76
pt_ll_214,3.2200000000000006,5.76
pt_ll_215,3.580000000000001,5.76
pt_ll_216,3.040000000000001,5.76
pt_ll_217,2.6800000000000006,5.04
pt_ll_218,2.320000000000001,5.04
pt_ll_5147,1.7800000000000011,4.32
pt_ll_219,1.7202400000000004,4.32
pt_ll_220,4.240240000000001,6.4799999999999995
pt_ll_221,4.240240000000001,6.4799999999999995
pt_ll_222,4.120000000000001,6.4799999999999995
pt_ll_223,4.359760000000001,6.4799999999999995
pt_ll_224,4.240240000000001,6.4799999999999995
pt_ll_225,4.60024,7.199999999999999
pt_ll_226,4.660000000000001,7.199999999999999
pt_ll_5150,4.780240000000001,7.199999999999999
pt_ll_227,4.660000000000001,7.199999999999999
pt_ll_228,5.200000000000001,7.92
pt_ll_229,0.6402400000000004,2.88
pt_ll_230,0.6402400000000004,2.88
pt_ll_231,0.8800000000000008,3.5999999999999996
pt_ll_232,1.0002400000000016,3.5999999999999996
pt_ll_233,1.360240000000001,3.5999999999999996
pt_ll_234,1.6000000000000014,4.32
pt_ll_235,1.9600000000000009,4.32
pt_ll_236,1.240000000000002,3.5999999999999996
pt_ll_237,1.360240000000001,3.5999999999999996
pt_ll_238,1.360240000000001,3.5999999999999996
pt_ll_239,1.240000000000002,3.5999999999999996
pt_ll_240,1.6000000000000014,4.32
pt_ll_241,1.6597600000000021,4.32
pt_ll_242,1.9600000000000009,4.32
pt_ll_5148,2.320000000000001,5.04
pt_ll_243,1.8397600000000018,4.32
pt_ll_244,2.320000000000001,5.04
pt_ll_245,1.9600000000000009,4.32
pt_ll_246,2.0802400000000008,4.32
pt_ll_247,2.320000000000001,5.04
pt_ll_248,1.9600000000000009,4.32
pt_ll_249,1.9600000000000009,4.32
pt_ll_250,2.320000000000001,5.04
pt_ll_251,2.8002400000000005,5.04
pt_ll_252,2.440240000000001,5.04
pt_ll_253,3.040000000000001,5.76
pt_ll_254,2.320000000000001,5.04
pt_ll_255,2.5597600000000007,5.04
pt_ll_256,2.8002400000000005,5.04
pt_ll_257,2.500000000000001,5.04
pt_ll_258,3.040000000000001,5.76
pt_ll_259,2.8002400000000005,5.04
pt_ll_260,2.440240000000001,5.04
pt_ll_261,2.6800000000000006,5.04
pt_ll_262,2.500000000000001,5.04
pt_ll_263,3.4000000000000012,5.76
pt_ll_264,3.520240000000001,5.76
pt_ll_265,3.459760000000001,5.76
pt_ll_266,3.2200000000000006,5.76
